artist,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Dance/Electronic,Folk/Acoustic,R&B,World/Traditional,blues,classical,country,easy listening,hip hop,jazz,latin,metal,pop,rock
Lil' Kim,359973,True,2019,47,0.849,0.498,2,-7.872,1,0.272,0.116,4.49e-05,0.268,0.502,92.98,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Christina Aguilera,255266,False,2002,61,0.859,0.658,8,-4.481,1,0.192,0.0326,0.00181,0.0651,0.538,98.989,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nickelback,207466,False,2003,68,0.455,0.858,11,-5.659,0,0.0391,0.000616,0.000247,0.226,0.597,163.118,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Blue,222400,False,2003,48,0.6,0.736,7,-6.228,1,0.0329,0.325,0.0,0.137,0.848,158.108,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ashanti,297960,False,2003,50,0.606,0.699,8,-3.103,0,0.0337,0.343,1.89e-06,0.0757,0.509,83.701,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Trapt,285569,True,2002,72,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Simply Red,199040,False,2008,58,0.791,0.733,5,-5.123,0,0.029,0.00189,0.201,0.0859,0.917,105.987,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Lumidee,184906,False,2003,61,0.811,0.657,6,-6.197,1,0.362,0.0391,0.712,0.0798,0.777,199.958,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Girls Aloud,221426,False,2003,58,0.568,0.867,11,-5.861,1,0.0365,0.00344,4.67e-05,0.328,0.88,163.944,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Nelly,293666,False,2016,52,0.527,0.808,1,-4.749,1,0.295,0.176,0.0,0.169,0.907,87.025,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Room 5,212413,False,2003,57,0.883,0.887,1,-4.92,1,0.116,0.0111,0.63,0.0367,0.648,124.814,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatman Scoop,164506,True,2009,49,0.649,0.713,7,-6.488,1,0.295,0.000787,0.0,0.318,0.629,101.129,0,0,0,0,0,0,0,0,1,0,0,0,0,0
